Event ID,Event Date,Source Name,Source Sectors,Source Country,Event Text,CAMEO Code,Intensity,Target Name,Target Sectors,Target Country,Story ID,Sentence Number,Publisher,City,District,Province,Country,Latitude,Longitude,Month
18073096,2012-01-01,North Korea,,North Korea,Demand de-escalation of military engagement,1056,-5.0,Military (United States),"Military,Government",United States,16234848,3,Yonhap English News,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
18073150,2012-01-01,South Korea,,South Korea,Host a visit,43,2.8,Lee Myung Bak,"Center Right,International Religious,Ideological,Elite,Christian,Executive Office,Government,Executive,(National) Major Party,Parties",South Korea,16238170,5,BBC Monitoring Asia Pacific,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
18073168,2012-01-01,North Korea,,North Korea,Criticize or denounce,111,-2.0,South Korea,,South Korea,16239387,1,PNA (Philippines News Agency),Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
18073167,2012-01-01,North Korea,,North Korea,Engage in symbolic act,17,0.0,Kim Jong-Il,"(National) Major Party,Parties,Government Major Party (In Government)",North Korea,16239387,4,PNA (Philippines News Agency),Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
18073180,2012-01-01,North Korea,,North Korea,Demand de-escalation of military engagement,1056,-5.0,Military (United States),"Military,Government",United States,16239411,2,PNA (Philippines News Agency),Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
18073183,2012-01-01,China,,China,Express intent to provide economic aid,331,5.2,North Korea,,North Korea,16239416,2,PNA (Philippines News Agency),Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
18073192,2012-01-01,North Korea,,North Korea,Make an appeal or request,20,3.0,Citizen (North Korea),"Social,General Population / Civilian / Social",North Korea,16239614,1,Agence France-Presse,,,,North Korea,39.0339,125.754,1
18073191,2012-01-01,North Korea,,North Korea,Make statement,10,0.0,Kim Jong-Il,"(National) Major Party,Parties,Government Major Party (In Government)",North Korea,16239614,4,Agence France-Presse,,,,North Korea,39.0339,125.754,1
18073193,2012-01-01,North Korea,,North Korea,Threaten,130,-4.4,South Korea,,South Korea,16239614,6,Agence France-Presse,,,,South Korea,37.5683,126.978,1
18073271,2012-01-01,North Korea,,North Korea,Engage in symbolic act,17,0.0,Kim Jong-Il,"(National) Major Party,Parties,Government Major Party (In Government)",North Korea,16243409,5,BBC Monitoring Asia Pacific,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
18073286,2012-01-01,North Korea,,North Korea,Criticize or denounce,111,-2.0,South Korea,,South Korea,16244144,1,Yonhap English News,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
18073285,2012-01-01,North Korea,,North Korea,Engage in symbolic act,17,0.0,Kim Jong-Il,"(National) Major Party,Parties,Government Major Party (In Government)",North Korea,16244144,4,Yonhap English News,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
18073328,2012-01-01,China,,China,"Arrest, detain, or charge with legal action",173,-5.0,Men (China),"General Population / Civilian / Social,Social",China,16244821,1,Hindustan Times,Beijing,,Beijing Shi,China,39.9075,116.397,1
18073389,2012-01-01,North Korea,,North Korea,Demand de-escalation of military engagement,1056,-5.0,Military (United States),"Military,Government",United States,16249108,3,Yonhap English News,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
18073419,2012-01-01,North Korea,,North Korea,Make statement,10,0.0,Kim Jong-Un,"Executive Office,Elite,Executive,Government",North Korea,16249450,6,The Washington Post,Tehran,,Tehran Province,Iran,35.6944,51.4215,1
18073426,2012-01-01,North Korea,,North Korea,Make statement,10,0.0,Kim Jong-Un,"Executive Office,Elite,Executive,Government",North Korea,16249960,4,Al Jazeera English,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
18073476,2012-01-01,China,,China,Make statement,10,0.0,Kim Jong-Un,"Executive Office,Elite,Executive,Government",North Korea,16253075,3,Kyodo News,Beijing,,Beijing Shi,China,39.9075,116.397,1
18073477,2012-01-01,North Korea,,North Korea,Engage in symbolic act,17,0.0,Kim Jong-Il,"(National) Major Party,Parties,Government Major Party (In Government)",North Korea,16253075,4,Kyodo News,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
18073532,2012-01-01,North Korea,,North Korea,Make an appeal or request,20,3.0,Citizen (North Korea),"Social,General Population / Civilian / Social",North Korea,16255829,2,BBC Monitoring Newsfile,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
18073551,2012-01-01,China,,China,Rally support on behalf of,53,3.8,Kim Jong-Un,"Executive Office,Elite,Executive,Government",North Korea,16257778,3,South China Morning Post,Beijing,,Beijing Shi,China,39.9075,116.397,1
18073552,2012-01-01,North Korea,,North Korea,Make statement,10,0.0,Indigenous People (Japan),"General Population / Civilian / Social,Social",Japan,16257783,3,South China Morning Post,Tokyo,,Tokyo-to,Japan,35.6895,139.692,1
18073577,2012-01-01,North Korea,,North Korea,Make an appeal or request,20,3.0,Citizen (North Korea),"Social,General Population / Civilian / Social",North Korea,16259193,1,Agence France-Presse,Pyongyang,,P'yongyang-si,North Korea,39.0339,125.754,1
18073602,2012-01-01,China,,China,Express intent to provide economic aid,331,5.2,North Korea,,North Korea,16260801,2,Yonhap English News,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
18073669,2012-01-01,South Korea,,South Korea,Host a visit,43,2.8,Kim Jong-Un,"Executive Office,Elite,Executive,Government",North Korea,16265221,2,BBC Monitoring Newsfile,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
18073688,2012-01-01,North Korea,,North Korea,Make an appeal or request,20,3.0,Citizen (North Korea),"Social,General Population / Civilian / Social",North Korea,16266738,1,Korea Times,,,,North Korea,39.0339,125.754,1
18073689,2012-01-01,North Korea,,North Korea,Demand,100,-5.0,United States,,United States,16266738,2,Korea Times,,,,United States,38.8951,-77.0364,1
18073690,2012-01-01,China,,China,Make statement,10,0.0,South Korea,,South Korea,16266743,6,Korea Times,Beijing,,Beijing Shi,China,39.9075,116.397,1
18073705,2012-01-01,North Korea,,North Korea,Make statement,10,0.0,Military (North Korea),"Military,Government",North Korea,16267107,1,Agence France-Presse,,,,North Korea,39.0339,125.754,1
18073708,2012-01-01,North Korea,,North Korea,Host a visit,43,2.8,Kim Jong-Un,"Executive Office,Elite,Executive,Government",North Korea,16267107,3,Agence France-Presse,,,,North Korea,39.0339,125.754,1
18073706,2012-01-01,North Korea,,North Korea,Make statement,10,0.0,Kim Jong-Il,"(National) Major Party,Parties,Government Major Party (In Government)",North Korea,16267107,6,Agence France-Presse,,,,North Korea,39.0339,125.754,1
18073729,2012-01-01,China,,China,Make statement,10,0.0,South Korea,,South Korea,16268029,6,Yonhap English News,Beijing,,Beijing Shi,China,39.9075,116.397,1
18073730,2012-01-01,North Korea,,North Korea,Demand de-escalation of military engagement,1056,-5.0,Military (United States),"Military,Government",United States,16268459,3,Yonhap English News,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
18073737,2012-01-01,North Korea,,North Korea,Demand,100,-5.0,United States,,United States,16268964,3,Yonhap English News,Seoul,,Seoul-teukbyeolsi,South Korea,37.5683,126.978,1
