Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated crime in Alabama

Year,Population,Violent crime total
1985,4021000,18398
1986,4053000,22616
1987,4083000,22833
1988,4127000,23052
1989,4118000,24329
1990,4040587,28630
1991,4089000,34518
1992,4136000,36052
1993,4187000,32676
1994,4219000,28844
1995,4253000,26894
1996,4273000,24159
1997,4319000,24379
1998,4352000,22286
1999,4369862,21421
2000,4447100,21620
2001,4468912,19582
2002,4478896,19931
2003,4503726,19331
2004,4525375,19324
2005,4548327,19678
2006,4599030,19553
2007,4627851,20775
2008,4661900,21110
2009,4708708,21194
2010,4785401,18363
2011,4803689,20166
2012,4817528,21693
2013,4833996,20834
2014,4849377,20727

Estimated crime in Alaska

Year,Population,Violent crime total
1985,521000,3031
1986,534000,3046
1987,525000,2391
1988,513000,2682
1989,527000,2623
1990,550043,2885
1991,570000,3499
1992,587000,3877
1993,599000,4557
1994,606000,4644
1995,604000,4656
1996,607000,4417
1997,609000,4270
1998,614000,4015
1999,619500,3908
2000,626932,3554
2001,633630,3735
2002,641482,3627
2003,648280,3877
2004,657755,4159
2005,663253,4194
2006,670053,4610
2007,683478,4520
2008,686293,4475
2009,698473,4424
2010,714146,4537
2011,723860,4416
2012,730307,4412
2013,737259,4709
2014,736732,4684

Estimated crime in Arizona

Year,Population,Violent crime total
1985,3187000,19202
1986,3317000,21835
1987,3386000,20742
1988,3466000,21147
1989,3556000,21320
1990,3665228,23911
1991,3750000,25152
1992,3832000,25706
1993,3936000,28142
1994,4075000,28653
1995,4218000,30095
1996,4428000,27963
1997,4555000,28411
1998,4669000,26984
1999,4778332,26334
2000,5130632,27281
2001,5306966,28675
2002,5441125,30171
2003,5579222,28638
2004,5739879,28952
2005,5953007,30478
2006,6166318,33456
2007,6338755,32835
2008,6500180,31567
2009,6595778,28128
2010,6413158,26528
2011,6467315,26789
2012,6551149,28077
2013,6634997,27576
2014,6731484,26916

Estimated crime in Arkansas

Year,Population,Violent crime total
1985,2359000,8199
1986,2372000,9365
1987,2388000,9839
1988,2422000,10237
1989,2406000,11397
1990,2350725,12511
1991,2372000,14072
1992,2399000,13831
1993,2424000,14381
1994,2453000,14598
1995,2484000,13741
1996,2510000,13161
1997,2523000,13293
1998,2538000,12442
1999,2551373,10848
2000,2673400,11904
2001,2694698,12190
2002,2706268,11501
2003,2727774,12449
2004,2750000,13814
2005,2775708,14670
2006,2810872,15538
2007,2834797,15226
2008,2855390,14649
2009,2889450,14905
2010,2921588,14711
2011,2938582,14173
2012,2949828,13851
2013,2958765,13705
2014,2966369,14243

Estimated crime in California

Year,Population,Violent crime total
1985,26365000,201763
1986,26981000,248370
1987,27663000,253943
1988,28168000,261912
1989,29063000,284136
1990,29760021,311051
1991,30380000,331122
1992,30867000,345624
1993,31211000,336381
1994,31431000,318395
1995,31589000,305154
1996,31878000,274996
1997,32268000,257582
1998,32667000,229883
1999,33145121,207879
2000,33871648,210531
2001,34600463,212867
2002,35001986,208388
2003,35462712,205551
2004,35842038,189175
2005,36154147,190178
2006,36457549,194483
2007,36553215,191561
2008,36756666,185329
2009,36961664,174934
2010,37338198,164133
2011,37683933,154943
2012,37999878,160944
2013,38431393,154739
2014,38802500,153709

Estimated crime in Colorado

Year,Population,Violent crime total
1985,3231000,15219
1986,3267000,17105
1987,3296000,15409
1988,3290000,15548
1989,3317000,15636
1990,3294394,17328
1991,3377000,18887
1992,3470000,20086
1993,3566000,20229
1994,3656000,18632
1995,3747000,16494
1996,3823000,15463
1997,3893000,14139
1998,3971000,15008
1999,4056133,13811
2000,4301261,14367
2001,4430989,15492
2002,4501051,15882
2003,4547633,15757
2004,4601821,17121
2005,4663295,18498
2006,4753377,18794
2007,4861515,17101
2008,4939456,17480
2009,5024748,17022
2010,5047692,16339
2011,5116302,16085
2012,5189458,15951
2013,5272086,16099
2014,5355866,16554

Estimated crime in Connecticut

Year,Population,Violent crime total
1985,3174000,12758
1986,3189000,13578
1987,3211000,13455
1988,3241000,14759
1989,3239000,16576
1990,3287116,18201
1991,3291000,17761
1992,3281000,16252
1993,3277000,14949
1994,3275000,14916
1995,3275000,13293
1996,3274000,13490
1997,3270000,12781
1998,3274000,11993
1999,3282031,11342
2000,3405565,11058
2001,3434602,11492
2002,3458587,10807
2003,3486960,11045
2004,3498966,10113
2005,3500701,9542
2006,3504809,10505
2007,3502309,10547
2008,3501252,10737
2009,3518288,10588
2010,3575498,10083
2011,3586717,9889
2012,3591765,10183
2013,3599341,9439
2014,3596677,8522

Estimated crime in Delaware

Year,Population,Violent crime total
1985,622000,2695
1986,633000,2703
1987,644000,2774
1988,660000,2981
1989,673000,3745
1990,666168,4365
1991,680000,4857
1992,689000,4280
1993,700000,4801
1994,706000,4549
1995,717000,5198
1996,725000,4845
1997,732000,5753
1998,744000,5672
1999,753538,5534
2000,783600,5363
2001,796599,4868
2002,805945,4836
2003,818166,5525
2004,830069,5105
2005,841741,5332
2006,853476,5983
2007,864764,6100
2008,873092,6187
2009,885122,5713
2010,899792,5608
2011,908137,5144
2012,917053,5048
2013,925240,4633
2014,935614,4576

Estimated crime in District of Columbia

Year,Population,Violent crime total
1985,626000,10171
1986,626000,9423
1987,622000,10016
1988,620000,11914
1989,604000,12937
1990,606900,14919
1991,598000,14671
1992,589000,16685
1993,578000,16888
1994,570000,15177
1995,554000,14744
1996,543000,13411
1997,529000,10708
1998,523000,8988
1999,519000,8448
2000,572059,8626
2001,573822,9195
2002,569157,9322
2003,557620,9061
2004,554239,7590
2005,582049,8032
2006,581530,8772
2007,588292,8325
2008,591833,8509
2009,599657,8089
2010,604912,8026
2011,619020,7433
2012,633427,7866
2013,649111,8415
2014,658893,8199

Estimated crime in Florida

Year,Population,Violent crime total
1985,11366000,106971
1986,11675000,121013
1987,12023000,123168
1988,12377000,138343
1989,12671000,140575
1990,12937926,160990
1991,13277000,157243
1992,13488000,162827
1993,13679000,164975
1994,13953000,160016
1995,14166000,151711
1996,14400000,151350
1997,14654000,149996
1998,14916000,140016
1999,15111244,129044
2000,15982378,129777
2001,16373330,130713
2002,16691701,128721
2003,16999181,124280
2004,17385430,123754
2005,17768191,125957
2006,18089888,129602
2007,18251243,131878
2008,18328340,126256
2009,18537969,113541
2010,18838613,101969
2011,19082262,98198
2012,19320749,94087
2013,19600311,91993
2014,19893297,107521

Estimated crime in Georgia

Year,Population,Violent crime total
1985,5976000,30311
1986,6104000,35869
1987,6222000,35868
1988,6401000,42589
1989,6436000,47357
1990,6478216,48996
1991,6623000,48894
1992,6751000,49496
1993,6917000,50019
1994,7055000,47103
1995,7201000,47317
1996,7353000,46966
1997,7486000,45408
1998,7642000,43762
1999,7788240,41585
2000,8186453,41319
2001,8405677,41671
2002,8544005,39271
2003,8676460,39435
2004,8918129,40217
2005,9132553,40725
2006,9363941,44754
2007,9544750,46917
2008,9685744,47353
2009,9829211,42073
2010,9712157,39068
2011,9812460,36762
2012,9915646,37675
2013,9994759,37519
2014,10097343,38097

Estimated crime in Hawaii

Year,Population,Violent crime total
1985,1054000,2313
1986,1062000,2604
1987,1083000,2851
1988,1093000,2810
1989,1112000,3004
1990,1108229,3113
1991,1135000,2744
1992,1160000,2998
1993,1172000,3061
1994,1179000,3091
1995,1187000,3509
1996,1184000,3322
1997,1187000,3299
1998,1193000,2946
1999,1185497,2785
2000,1211537,2954
2001,1227024,3117
2002,1240663,3262
2003,1248755,3400
2004,1262124,3213
2005,1273278,3253
2006,1285498,3608
2007,1283388,3544
2008,1288198,3510
2009,1295178,3550
2010,1363359,3603
2011,1378129,3465
2012,1390090,3378
2013,1408987,3585
2014,1419561,3680

Estimated crime in Idaho

Year,Population,Violent crime total
1985,1005000,2360
1986,1003000,2232
1987,998000,2138
1988,999000,2345
1989,1014000,2582
1990,1006749,2776
1991,1039000,3016
1992,1067000,3003
1993,1099000,3097
1994,1133000,3238
1995,1163000,3745
1996,1189000,3177
1997,1210000,3107
1998,1229000,3468
1999,1251700,3066
2000,1293953,3267
2001,1320585,3211
2002,1343124,3419
2003,1367034,3362
2004,1395140,3452
2005,1429367,3670
2006,1466465,3666
2007,1499402,3841
2008,1523816,3680
2009,1545801,3805
2010,1571102,3464
2011,1583744,3202
2012,1595590,3348
2013,1612843,3471
2014,1634464,3468

Estimated crime in Illinois

Year,Population,Violent crime total
1985,11535000,82448
1986,11533000,93454
1987,11582000,92216
1988,11544000,93557
1989,11658000,98611
1990,11430602,110575
1991,11543000,119955
1992,11631000,113664
1993,11697000,112260
1994,11752000,112928
1995,11830000,117836
1996,11847000,105482
1997,11896000,102476
1998,12045000,97291
1999,12128370,83621
2000,12419293,81196
2001,12520227,79270
2002,12586447,75759
2003,12649087,70376
2004,12712016,69365
2005,12765427,70496
2006,12831970,69498
2007,12852548,68528
2008,12901563,67780
2009,12910409,64185
2010,12841980,57132
2011,12859752,54523
2012,12868192,53556
2013,12890552,51956
2014,12880580,47663

Estimated crime in Indiana

Year,Population,Violent crime total
1985,5499000,17014
1986,5504000,16937
1987,5531000,18169
1988,5575000,21187
1989,5593000,22735
1990,5544159,26275
1991,5610000,28349
1992,5662000,28791
1993,5713000,27941
1994,5752000,30205
1995,5803000,30451
1996,5841000,31366
1997,5864000,30179
1998,5899000,25423
1999,5942901,22261
2000,6080485,21230
2001,6126743,22734
2002,6156913,22001
2003,6199571,21842
2004,6226537,20294
2005,6266019,20302
2006,6313520,20303
2007,6345289,21310
2008,6376792,21525
2009,6423113,21455
2010,6490622,20983
2011,6516353,21619
2012,6537782,22544
2013,6570713,23627
2014,6596855,24099

Estimated crime in Iowa

Year,Population,Violent crime total
1985,2884000,6106
1986,2851000,6703
