street_address,living_area,state_code,market_value,CAMPNAME,x,y
1122 MILL SPGS RICHARDSON TX 75080,2910,A1,260181,HARMONY EL,-96.74129101,32.98643902
1512 CLIFFBROOK DR PLANO TX 75075,2085,A1,157007,WILSON EL,-96.72373101,33.011214
1 CROWN PL RICHARDSON TX 75080,2984,A1,231902,ALDRIDGE EL,-96.73058397,32.99240899
1122 W LOOKOUT DR RICHARDSON TX 75080,2385,A1,222680,HARMONY EL,-96.74145798,32.98928099
1512 NORTHCREST DR PLANO TX 75075,1824,A1,135526,WILSON EL,-96.72281604,33.00970299
1 DORAL PL RICHARDSON TX 75080,1758,A1,156999,ALDRIDGE EL,-96.73272697,32.99369402
1123 BRANDY STA RICHARDSON TX 75080,2660,A1,258439,HARMONY EL,-96.74137198,32.986795
1512 WESTLAKE DR PLANO TX 75075,2553,A1,190700,WILSON EL,-96.721831,33.00921399
1 RIDGEVIEW CIR RICHARDSON TX 75080,2302,A1,259915,SHEPARD EL,-96.72179596,32.98624301
1123 BULL RUN RICHARDSON TX 75080,2674,A1,243858,HARMONY EL,-96.74133502,32.98766198
1123 MILL SPGS RICHARDSON TX 75080,0,A1,1820,HARMONY EL,-96.74130702,32.986104
1512 WESTRIDGE DR PLANO TX 75075,2329,A1,158714,WILSON EL,-96.72315903,33.01050598
1 RIDGEVIEW CIR RICHARDSON TX 75080,0,C1,4200,SHEPARD EL,-96.72179596,32.98624301
1123 W LOOKOUT DR RICHARDSON TX 75080,2380,A1,215237,HARMONY EL,-96.74149402,32.98859099
1513 CLIFFBROOK DR PLANO TX 75075,2427,A1,161385,WILSON EL,-96.72438497,33.01135599
1 VISTA CLIFF PL RICHARDSON TX 75080,2298,A1,211967,SHEPARD EL,-96.72345902,32.98687098
1124 BRANDY STA RICHARDSON TX 75080,2502,A1,197997,HARMONY EL,-96.74135698,32.98730102
1513 NORTHCREST DR PLANO TX 75075,2249,A1,143152,WILSON EL,-96.72312701,33.010056
10 CROWN PL RICHARDSON TX 75080,2611,A1,252622,ALDRIDGE EL,-96.73059302,32.99384301
1124 MILL SPGS RICHARDSON TX 75080,2827,A1,223271,HARMONY EL,-96.74153602,32.98643001
1513 WESTLAKE DR PLANO TX 75075,2742,A1,165071,WILSON EL,-96.72266701,33.00933302
10 DORAL PL RICHARDSON TX 75080,1812,A1,144577,ALDRIDGE EL,-96.73334002,32.99357298
1124 W LOOKOUT DR RICHARDSON TX 75080,3488,A1,248419,HARMONY EL,-96.74170298,32.98920702
